Unnamed: 0,lora_key,shape,new_k,attn_processor_key,sub_key
1006,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_down.weight,,middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_down.weight
1007,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_up.weight,,middle_block_1_transformer_blocks_8_attn2_to_out_0.lora_up.weight
1008,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_q.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn2_to_q.alpha,,middle_block_1_transformer_blocks_8_attn2_to_q.alpha
1009,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_q.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_attn2_to_q.lora_down.weight,,middle_block_1_transformer_blocks_8_attn2_to_q.lora_down.weight
1010,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_q.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn2_to_q.lora_up.weight,,middle_block_1_transformer_blocks_8_attn2_to_q.lora_up.weight
1011,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_v.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_attn2_to_v.alpha,,middle_block_1_transformer_blocks_8_attn2_to_v.alpha
1012,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_v.lora_down.weight,"torch.Size([32, 2048])",middle_block_1_transformer_blocks_8_attn2_to_v.lora_down.weight,,middle_block_1_transformer_blocks_8_attn2_to_v.lora_down.weight
1013,lora_unet_middle_block_1_transformer_blocks_8_attn2_to_v.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_attn2_to_v.lora_up.weight,,middle_block_1_transformer_blocks_8_attn2_to_v.lora_up.weight
1014,lora_unet_middle_block_1_transformer_blocks_8_ff_net_0_proj.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_ff_net_0_proj.alpha,,middle_block_1_transformer_blocks_8_ff_net_0_proj.alpha
1015,lora_unet_middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_down.weight,,middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_down.weight
1016,lora_unet_middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_up.weight,"torch.Size([10240, 32])",middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_up.weight,,middle_block_1_transformer_blocks_8_ff_net_0_proj.lora_up.weight
1017,lora_unet_middle_block_1_transformer_blocks_8_ff_net_2.alpha,torch.Size([]),middle_block_1_transformer_blocks_8_ff_net_2.alpha,,middle_block_1_transformer_blocks_8_ff_net_2.alpha
1018,lora_unet_middle_block_1_transformer_blocks_8_ff_net_2.lora_down.weight,"torch.Size([32, 5120])",middle_block_1_transformer_blocks_8_ff_net_2.lora_down.weight,,middle_block_1_transformer_blocks_8_ff_net_2.lora_down.weight
1019,lora_unet_middle_block_1_transformer_blocks_8_ff_net_2.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_8_ff_net_2.lora_up.weight,,middle_block_1_transformer_blocks_8_ff_net_2.lora_up.weight
1020,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_k.alpha,torch.Size([]),middle_block_1_transformer_blocks_9_attn1_to_k.alpha,,middle_block_1_transformer_blocks_9_attn1_to_k.alpha
1021,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_k.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_9_attn1_to_k.lora_down.weight,,middle_block_1_transformer_blocks_9_attn1_to_k.lora_down.weight
1022,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_k.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_9_attn1_to_k.lora_up.weight,,middle_block_1_transformer_blocks_9_attn1_to_k.lora_up.weight
1023,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_out_0.alpha,torch.Size([]),middle_block_1_transformer_blocks_9_attn1_to_out_0.alpha,,middle_block_1_transformer_blocks_9_attn1_to_out_0.alpha
1024,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_down.weight,,middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_down.weight
1025,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_up.weight,,middle_block_1_transformer_blocks_9_attn1_to_out_0.lora_up.weight
1026,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_q.alpha,torch.Size([]),middle_block_1_transformer_blocks_9_attn1_to_q.alpha,,middle_block_1_transformer_blocks_9_attn1_to_q.alpha
1027,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_q.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_9_attn1_to_q.lora_down.weight,,middle_block_1_transformer_blocks_9_attn1_to_q.lora_down.weight
1028,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_q.lora_up.weight,"torch.Size([1280, 32])",middle_block_1_transformer_blocks_9_attn1_to_q.lora_up.weight,,middle_block_1_transformer_blocks_9_attn1_to_q.lora_up.weight
1029,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_v.alpha,torch.Size([]),middle_block_1_transformer_blocks_9_attn1_to_v.alpha,,middle_block_1_transformer_blocks_9_attn1_to_v.alpha
1030,lora_unet_middle_block_1_transformer_blocks_9_attn1_to_v.lora_down.weight,"torch.Size([32, 1280])",middle_block_1_transformer_blocks_9_attn1_to_v.lora_down.weight,,middle_block_1_transformer_blocks_9_attn1_to_v.lora_down.weight
